hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
石鎖,tsio̍h-só,25,chio̍h-só,tsioh8so2,chioh8so2,tsiohso,chiohso
石鼓,tsio̍h-kóo,25,chio̍h-kó͘,tsioh8koo2,chioh8koo2,tsiohkoo,chiohkoo
砂碖,sua-lún,25,soa-lún,sua1lun2,soa1lun2,sualun,soalun
砂紙,sua-tsuá,25,soa-chóa,sua1tsua2,soa1choa2,suatsua,soachoa
硩ㄧ,teh-it,25,teh-it,teh1it1,teh1it1,tehit,tehit
硩三,teh-sann,25,teh-saⁿ,teh1sann1,teh1sann1,tehsann,tehsann
硩二,teh-jī,25,teh-jī,teh1ji7,teh1ji7,tehji,tehji
硬斜,ngē-tshiâ,25,ngē-chhiâ,nge7tshia5,nge7chhia5,ngetshia,ngechhia
磅仔,pōng-á,25,pōng-á,pong7a2,pong7a2,ponga,ponga
磅子,pōng-tsí,25,pōng-chí,pong7tsi2,pong7chi2,pongtsi,pongchi
磅戕,pōng-tshiâng,25,pōng-chhiâng,pong7tshiang5,pong7chhiang5,pongtshiang,pongchhiang
磨台,buâ-tâi,25,bôa-tâi,bua5tai5,boa5tai5,buatai,boatai
磨坩,buâ-khann,25,bôa-khaⁿ,bua5khann1,boa5khann1,buakhann,boakhann
神椅,sîn-í,25,sîn-í,sin5i2,sin5i2,sini,sini
秤仔,tshìn-á,25,chhìn-á,tshin3a2,chhin3a2,tshina,chhina
秤錘,tshìn-thuî,25,chhìn-thûi,tshin3thui5,chhin3thui5,tshinthui,chhinthui
穗花,sūi-hue,25,sūi-hoe,sui7hue1,sui7hoe1,suihue,suihoe
空透,khang-thàu,25,khang-thàu,khang1thau3,khang1thau3,khangthau,khangthau
窯釘,iô-ting,25,iô-teng,io5ting1,io5teng1,ioting,ioteng
