漢字,異用字,TL
呼噓仔,呼㗭也,khoo-si-á
呼噓仔,呼噓也,khoo-si-á
呸瀾,呸涎,phuì-nuā
姊,姐,
姊,姐,
姑不而將,姑不二將,koo-put-jî-tsiong/koo-put-lî-tsiong
姑不而將,姑不二終,koo-put-jî-tsiong/koo-put-lî-tsiong
姊夫,姐夫,tsí-hu
姊妹,姐妹,tsí-muē/tsí-bē
姑情,姑成,koo-tsiânn
底代,底事,tī-tāi
孤囝,孤子,koo-kiánn
定銀,訂銀,tiānn-gîn/tiānn-gûn
忝,悿,thiám
彼一日,迄一日,hit-tsi̍t-ji̍t/hit-tsi̍t-li̍t
怪人,怪儂,
怪人,怪儂,
彼爿,彼旁,hit pîng
彼爿,迄旁,hit pîng
彼爿,迄爿,hit pîng
戽杓,戽桸,hòo-sia̍h
念咒,唸咒,liām-tsiù
往往,永永,íng-íng
彼時,迄時,hit-sî
念珠,唸珠,liām-tsu
彼站,迄暫,hit-tsām
彼陣,彼瞬,hit-tsūn
彼陣,迄陣,hit-tsūn
彼陣,迄瞬,hit-tsūn
彼款,迄款,hit khuán
彼搭,迄搭,hit-tah
彼號,迄號,hit-lō
彼跡,迄跡,hit-jiah/hit-liah
往過,永過,íng-kuè/íng-kè
彼擺,迄擺,hit pái
往擺,永擺,íng-pái
披,帔,phi
抾,卻,khioh
抾,拾,khioh
抾,摭,khioh
抿,笢,bín
抿,刡,bín
拂,㧾,hut
拊,撫,hú
拍,打,
拍,扑,
拑,捦,khînn
拚,拼,piànn
拄才,拄則,tú-tsiah
拄才,拄即,tú-tsiah
拍手,打手,phah-tshiú
拍手,扑手,phah-tshiú
拍歹,打歹,phah-pháinn
拍歹,扑歹,phah-pháinn
拍毋見,打不見,phah-m̄-kìnn
拍毋見,拍不見,phah-m̄-kìnn
拍手銃,打手銃,phah-tshiú-tshìng
拍手銃,扑手銃,phah-tshiú-tshìng
披仔,批仔,phi-á
抿仔,刡仔,bín-á
拍尻川,打尻川,phah-kha-tshng
拍尻川,扑尻川,phah-kha-tshng
拍石,打石,phah-tsio̍h
拍石,扑石,phah-tsio̍h
拚生死,拼生死,piànn-senn-sí/piànn-sinn-sí
拍石師,打石師,phah-tsio̍h-sai
拍石師,扑石師,phah-tsio̍h-sai
拚生理,拼生理,piànn-sing-lí
拈田嬰,拈田𧉅,liam-tshân-enn/liam-tshân-inn
拍生驚,打青驚,phah-tshenn-kiann/phah-tshinn-kiann
拍生驚,扑生驚,phah-tshenn-kiann/phah-tshinn-kiann
拍交落,扑交落,phah-ka-la̍uh
拍交落,打交落,phah-ka-la̍uh
抾囡仔,扱囡仔,khioh-gín-á
抾囡仔,拾囝仔,khioh-gín-á
招囝婿,招子婿,tsio-kiánn-sài
拄好,抵好,tú-hó
拍字機,打字機,phah-jī-ki/phah-lī-ki
拍字機,扑字機,phah-jī-ki/phah-lī-ki
拍呃,拍嗝,phah-eh
拍呃,拍噎,phah-eh
拍呃,打呃,phah-eh
拍折,打折,phah-tsiat
拍折,扑折,phah-tsiat
拖沙,拖砂,thua-sua
拑牢牢,捦稠稠,khînn-tiâu-tiâu
拚命,拼命,piànn-miā
拍官司,打官司,phah-kuann-si
拍官司,扑官司,phah-kuann-si
拚性命,拼性命,piànn-sènn-miā/piànn-sìnn-miā
拍拍,打拍,phah-phik
拍拍,扑拍,phah-phik
拍拚,打拚,phah-piànn
拍拚,扑拼,phah-piànn
拍拚,扑拚,phah-piànn
