tl,hanzi,frequency,poj,tl_num,poj_num
sau,弰,50,sau,sau1,sau1
gio̍k,弱,50,gio̍k,giok8,giok8
tionn,張,50,tioⁿ,tionn1,tionn1
kiōng,弶,50,kiōng,kiong7,kiong7
kiāng,強,50,kiāng,kiang7,kiang7
phing,弸,50,pheng,phing1,pheng1
ping,弸,50,peng,ping1,peng1
kòo,彀,50,kò͘,koo3,koo3
khoo,彄,50,kho͘,khoo1,khoo1
thân,彈,50,thân,than5,than5
kiong,彊,50,kiong,kiong1,kiong1
kióng,彊,50,kióng,kiong2,kiong2
kiông,彊,50,kiông,kiong5,kiong5
kiōng,彊,50,kiōng,kiong7,kiong7
mî,彌,50,mî,mi5,mi5
hok,彍,50,hok,hok4,hok4
kī,彐,50,kī,ki7,ki7
kuī,归,50,kūi,kui7,kui7
lo̍k,彔,50,lo̍k,lok8,lok8
thuàn,彖,50,thoàn,thuan3,thoan3
î,彞,50,î,i5,i5
bûn,彣,50,bûn,bun5,bun5
tông,彤,50,tông,tong5,tong5
giān,彥,50,giān,gian7,gian7
gān,彥,50,gān,gan7,gan7
pin,彬,50,pin,pin1,pin1
phînn,彭,50,phîⁿ,phinn5,phinn5
phiau,彯,50,phiau,phiau1,phiau1
tshik,彳,50,chhek,tshik4,chhek4
tsiok,彴,50,chiok,tsiok4,chiok4
hóng,彷,50,hóng,hong2,hong2
tsiong,彸,50,chiong,tsiong1,chiong1
te,彽,50,te,te1,te1
hut,彿,50,hut,hut4,hut4
tsing,征,50,cheng,tsing1,cheng1
tsoo,徂,50,cho͘,tsoo1,choo1
óng,徃,50,óng,ong2,ong2
tāi,待,50,tāi,tai7,tai7
sûn,徇,50,sûn,sun5,sun5
hún,很,50,hún,hun2,hun2
iông,徉,50,iông,iong5,iong5
hiōr,後,50,hiōr,hior7,hior7
hiǒ,後,50,hiǒ,hio6,hio6
sîr,徐,50,sîr,sir5,sir5
tshî,徐,50,chhî,tshi5,chhi5
khi,徛,50,khi,khi1,khi1
khiǎ,徛,50,khiǎ,khia6,khia6
kì,徛,50,kì,ki3,ki3
siông,徜,50,siông,siong5,siong5
tsn̂g,從,50,chn̂g,tsng5,chng5
tsiu,徟,50,chiu,tsiu1,chiu1
lâi,徠,50,lâi,lai5,lai5
lāi,徠,50,lāi,lai7,lai7
kiān,徤,50,kiān,kian7,kian7
hông,徨,50,hông,hong5,hong5
sûn,循,50,sûn,sun5,sun5
sūn,循,50,sūn,sun7,sun7
pòng,徬,50,pòng,pong3,pong3
iâu,徭,50,iâu,iau5,iau5
hê,徯,50,hê,he5,he5
huē,徻,50,hōe,hue7,hoe7
uè,徻,50,òe,ue3,oe3
hiau,徼,50,hiau,hiau1,hiau1
khiàu,徼,50,khiàu,khiau3,khiau3
khiò,徼,50,khiò,khio3,khio3
kiàu,徼,50,kiàu,kiau3,kiau3
hui,徽,50,hui,hui1,hui1
liōng,徿,50,liōng,liong7,liong7
lóng,徿,50,lóng,long2,long2
