hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
教堂,kàu-tn̂g,25,kàu-tn̂g,kau3tng5,kau3tng5,kautng,kautng,kt,kt
教室,kàu-sik,25,kàu-sek,kau3sik4,kau3sek4,kausik,kausek,ks,ks
教師,kàu-su,25,kàu-su,kau3su1,kau3su1,kausu,kausu,ks,ks
教育,kàu-io̍k,25,kàu-io̍k,kau3iok8,kau3iok8,kauiok,kauiok,ki,ki
散文,suànn-bûn,25,sòaⁿ-bûn,suann3bun5,soann3bun5,suannbun,soannbun,sb,sb
散熱,sàn-jia̍t,25,sàn-jia̍t,san3jiat8,san3jiat8,sanjiat,sanjiat,sj,sj
敬語,kìng-gí,25,kèng-gí,king3gi2,keng3gi2,kinggi,kenggi,kg,kg
整數,tsíng-sòo,25,chéng-sò͘,tsing2soo3,cheng2soo3,tsingsoo,chengsoo,ts,cs
整除,tsíng-tî,25,chéng-tî,tsing2ti5,cheng2ti5,tsingti,chengti,tt,ct
數單,siàu-tuann,25,siàu-toaⁿ,siau3tuann1,siau3toann1,siautuann,siautoann,st,st
數字,sòo-jī,25,sò͘-jī,soo3ji7,soo3ji7,sooji,sooji,sj,sj
數量,sòo-liōng,25,sò͘-liōng,soo3liong7,soo3liong7,sooliong,sooliong,sl,sl
文化,bûn-huà,25,bûn-hòa,bun5hua3,bun5hoa3,bunhua,bunhoa,bh,bh
文句,bûn-kù,25,bûn-kù,bun5ku3,bun5ku3,bunku,bunku,bk,bk
文字,bûn-jī,25,bûn-jī,bun5ji7,bun5ji7,bunji,bunji,bj,bj
文學,bûn-ha̍k,25,bûn-ha̍k,bun5hak8,bun5hak8,bunhak,bunhak,bh,bh
