tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tsiánn-tsuí,汫水,25,chiáⁿ-chúi,tsiann2tsui2,chiann2chui2,tsianntsui,chiannchui
thuā-sann,汰衫,25,thōa-saⁿ,thua7sann,thoa7sann,thuasann,thoasann
kuat-tīng,決定,25,koat-tēng,kuatting7,koatteng7,kuatting,koatteng
kuat-sim,決心,25,koat-sim,kuatsim,koatsim,kuatsim,koatsim
kuat-tsiàn,決戰,25,koat-chiàn,kuattsian3,koatchian3,kuattsian,koatchian
kuat-bîng,決明,25,koat-bêng,kuatbing5,koatbeng5,kuatbing,koatbeng
kuat-pio,決標,25,koat-pio,kuatpio,koatpio,kuatpio,koatpio
kuat-tshik,決策,25,koat-chhek,kuattshik,koatchhek,kuattshik,koatchhek
kuat-suàn,決算,25,koat-soàn,kuatsuan3,koatsoan3,kuatsuan,koatsoan
kuat-gī,決議,25,koat-gī,kuatgi7,koatgi7,kuatgi,koatgi
kuat-sài,決賽,25,koat-sài,kuatsai3,koatsai3,kuatsai,koatsai
khì-tsuí,汽水,25,khì-chúi,khi3tsui2,khi3chui2,khitsui,khichui
khì-iû,汽油,25,khì-iû,khi3iu5,khi3iu5,khiiu,khiiu
khì-tshia,汽車,25,khì-chhia,khi3tshia,khi3chhia,khitshia,khichhia
kîn-ám,沂泔,25,kîn-ám,kin5am2,kin5am2,kinam,kinam
ak-tsuí,沃水,25,ak-chúi,aktsui2,akchui2,aktsui,akchui
ak-tâm,沃澹,25,ak-tâm,aktam5,aktam5,aktam,aktam
