hanzi,tl,frequency,poj
泉州派牽線,tsuân-tsiu-phài-khan-suànn,10,choân-chiu-phài-khan-sòaⁿ
泡棉的膠帶,phàu-mî-ê-ka-tuà,10,phàu-mî-ê-ka-tòa
火炭的熨斗,hué-thuànn-ê-ut-táu,10,hóe-thòaⁿ-ê-ut-táu
硩紙的鐵筆,teh-tsuá-ê-thih-pit,10,teh-chóa-ê-thih-pit
硩邊的軟墊,teh-pinn-ê-nńg-tiām,10,teh-piⁿ-ê-nńg-tiām
磨跳舞鍊仔,buâ-thiàu-bú-liān-á,10,bôa-thiàu-bú-liān-á
神像設計圖,sîn-siōng-siat-kè-tôo,10,sîn-siōng-siat-kè-tô͘
福州派粉線,hok-tsiu-phài-hún-suànn,10,hok-chiu-phài-hún-sòaⁿ
竹編的火籠,tik-pinn-ê-hué-lang,10,tek-piⁿ-ê-hóe-lang
竹編的飯擔,tik-pinn-ê-pn̄g-tànn,10,tek-piⁿ-ê-pn̄g-tàⁿ
簇柴灰架子,tshok-tshâ-hu-kè-á,10,chhok-chhâ-hu-kè-á
粗胚的大鏨,tshoo-phue-ê-tuā-tsām,10,chho͘-phoe-ê-tōa-chām
粗胚的頓槌,tshoo-phue-ê-tǹg-thuî,10,chho͘-phoe-ê-tǹg-thûi
純銀的秤仔,sûn-gîn-ê-tshìn-á,10,sûn-gîn-ê-chhìn-á
茄苳入石榴,ka-tang-ji̍p-tsio̍h-liû,10,ka-tang-ji̍p-chio̍h-liû
調味的架仔,tiâu-bī-ê-kè-á,10,tiâu-bī-ê-kè-á
銅雕的祥獸,tâng-tiau-ê-siông-siù,10,tâng-tiau-ê-siông-siù
鋸齒的剪刀,kì-khí-ê-ka-to,10,kì-khí-ê-ka-to
鶯歌的箸籠,ing-ko-ê-tī-lāng,10,eng-ko-ê-tī-lāng
