tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
āu-the,後胎,25,āu-the,au7the,au7the,authe,authe,at,at
āu-kha,後腳,25,āu-kha,au7kha,au7kha,aukha,aukha,ak,ak
āu-thuí,後腿,25,āu-thúi,au7thui2,au7thui2,authui,authui,at,at
āu-lo̍h,後落,25,āu-lo̍h,au7loh8,au7loh8,auloh,auloh,al,al
āu-ke,後街,25,āu-ke,au7ke,au7ke,auke,auke,ak,ak
hōo-è,後裔,25,hō͘-è,hoo7e3,hoo7e3,hooe,hooe,he,he
āu-ku,後裾,25,āu-ku,au7ku,au7ku,auku,auku,ak,ak
āu-kak,後角,25,āu-kak,au7kak,au7kak,aukak,aukak,ak,ak
āu-siā,後謝,25,āu-siā,au7sia7,au7sia7,ausia,ausia,as,as
āu-khí,後起,25,āu-khí,au7khi2,au7khi2,aukhi,aukhi,ak,ak
hōo-sin,後身,25,hō͘-sin,hoo7sin,hoo7sin,hoosin,hoosin,hs,hs
āu-sin,後身,25,āu-sin,au7sin,au7sin,ausin,ausin,as,as
hōo-kun,後軍,25,hō͘-kun,hoo7kun,hoo7kun,hookun,hookun,hk,hk
āu-kun,後軍,25,āu-kun,au7kun,au7kun,aukun,aukun,ak,ak
hōo-puè,後輩,25,hō͘-pòe,hoo7pue3,hoo7poe3,hoopue,hoopoe,hp,hp
āu-puè,後輩,25,āu-pòe,au7pue3,au7poe3,aupue,aupoe,ap,ap
āu-lián,後輪,25,āu-lián,au7lian2,au7lian2,aulian,aulian,al,al
hōo-thè,後退,25,hō͘-thè,hoo7the3,hoo7the3,hoothe,hoothe,ht,ht
āu-tsìn,後進,25,āu-chìn,au7tsin3,au7chin3,autsin,auchin,at,ac
āu-kè,後過,25,āu-kè,au7ke3,au7ke3,auke,auke,ak,ak
āu-kau,後郊,25,āu-kau,au7kau,au7kau,aukau,aukau,ak,ak
āu-mn̂g,後門,25,āu-mn̂g,au7mng5,au7mng5,aumng,aumng,am,am
āu-king,後間,25,āu-keng,au7king,au7keng,auking,aukeng,ak,ak
āu-tīn,後陣,25,āu-tīn,au7tin7,au7tin7,autin,autin,at,at
āu-tuī,後隊,25,āu-tūi,au7tui7,au7tui7,autui,autui,at,at
