tl,hanzi,frequency,poj
tsiam-bé-hong,尖尾風,16,chiam-bé-hong
bé-ia̍h-hue,尾蝶花,16,bé-ia̍h-hoe
suann-siann-tsa,山仙查,16,soaⁿ-siaⁿ-cha
suann-tshì-kue,山刺瓜,16,soaⁿ-chhì-koe
suann-sù-ing,山四英,16,soaⁿ-sù-eng
suann-thôo-tāu,山土豆,16,soaⁿ-thô͘-tāu
suann-poo-kiunn,山埔姜,16,soaⁿ-po͘-kiuⁿ
suann-poo-iâm,山埔鹽,16,soaⁿ-po͘-iâm
suann-pòo-tsí,山布子,16,soaⁿ-pò͘-chí
suann-tang-iū,山東柚,16,soaⁿ-tang-iū
suann-gî-pê,山枇杷,16,soaⁿ-gî-pê
suann-nâ-tâu,山林投,16,soaⁿ-nâ-tâu
suann-kam-á,山柑仔,16,soaⁿ-kam-á
suann-iū-á,山柚仔,16,soaⁿ-iū-á
suann-kun-lîng,山根龍,16,soaⁿ-kun-lêng
suann-kuì-hue,山桂花,16,soaⁿ-kùi-hoe
suann-suāinn-á,山檨仔,16,soaⁿ-soāiⁿ-á
