tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian
tiunn-tuah,張掇,25,tiuⁿ-toah,tiunntuah,tiunntoah,tiunntuah,tiunntoah,tt,tt,True
tionn-lí,張李,25,tioⁿ-lí,tionnli2,tionnli2,tionnli,tionnli,tl,tl,True
tiunn-lí,張李,25,tiuⁿ-lí,tiunnli2,tiunnli2,tiunnli,tiunnli,tl,tl,True
tionn-iônn,張楊,25,tioⁿ-iôⁿ,tionnionn5,tionnionn5,tionnionn,tionnionn,ti,ti,True
tiunn-iûnn,張楊,25,tiuⁿ-iûⁿ,tiunniunn5,tiunniunn5,tiunniunn,tiunniunn,ti,ti,True
tng-tán,張等,25,tng-tán,tngtan2,tngtan2,tngtan,tngtan,tt,tt,True
tionn-kán,張簡,25,tioⁿ-kán,tionnkan2,tionnkan2,tionnkan,tionnkan,tk,tk,True
tiunn-kán,張簡,25,tiuⁿ-kán,tiunnkan2,tiunnkan2,tiunnkan,tiunnkan,tk,tk,True
tiunn-lāu,張老,25,tiuⁿ-lāu,tiunnlau7,tiunnlau7,tiunnlau,tiunnlau,tl,tl,True
tionn-khóo,張許,25,tioⁿ-khó͘,tionnkhoo2,tionnkhoo2,tionnkhoo,tionnkhoo,tk,tk,True
tiunn-khóo,張許,25,tiuⁿ-khó͘,tiunnkhoo2,tiunnkhoo2,tiunnkhoo,tiunnkhoo,tk,tk,True
tionn-tiō,張趙,25,tioⁿ-tiō,tionntio7,tionntio7,tionntio,tionntio,tt,tt,True
tiunn-tiō,張趙,25,tiuⁿ-tiō,tiunntio7,tiunntio7,tiunntio,tiunntio,tt,tt,True
tionn-tân,張陳,25,tioⁿ-tân,tionntan5,tionntan5,tionntan,tionntan,tt,tt,True
tiunn-tân,張陳,25,tiuⁿ-tân,tiunntan5,tiunntan5,tiunntan,tiunntan,tt,tt,True
