hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
巔,tian,tian,0,False,True,False,False,False,False,False,False,False,False
巘,gián,gián,0,False,True,False,False,False,False,False,False,False,False
巘,giân,giân,0,False,True,False,False,False,False,False,False,False,False
川,tshuinn,chhuiⁿ,0,False,False,False,False,False,False,False,False,False,False
左,tsóo,chó͘,0,False,True,False,False,False,False,False,False,False,False
己,í,í,0,False,False,False,False,False,False,False,False,False,False
巳,í,í,0,False,False,False,False,False,False,False,False,False,False
巽,sùn,sùn,0,False,True,False,False,False,False,False,False,False,False
巾,kṳn,kṳn,0,False,False,False,False,False,False,False,False,False,False
帕,phà,phà,0,False,True,False,False,False,False,False,False,False,False
帛,pi̍t,pi̍t,0,False,False,False,False,False,False,False,False,False,False
帥,suì,sùi,0,False,True,False,False,False,False,False,False,False,False
席,sia̍h,sia̍h,0,False,True,False,False,False,False,True,False,False,False
帳,tiàng,tiàng,0,False,True,False,False,False,False,False,False,False,False
幕,bo̍k,bo̍k,0,False,True,False,False,False,False,True,False,False,False
幣,pī,pī,0,False,False,False,False,False,False,False,False,False,False
年,nī,nī,0,False,False,False,False,False,False,False,False,False,False
并,pìng,pèng,0,False,True,False,False,False,False,True,False,False,False
床,tshông,chhông,0,False,True,False,False,False,False,False,False,False,False
底,tí,tí,0,False,False,False,False,False,True,False,False,False,False
底,tó̤e,tó̤e,0,False,False,False,False,False,False,False,False,False,False
店,tàinn,tàiⁿ,0,False,False,False,False,False,False,False,False,False,True
庙,biāu,biāu,0,False,True,False,False,False,False,False,False,False,False
座,tsōo,chō͘,0,False,True,False,False,False,False,False,False,False,False
庭,thìng,thèng,0,False,False,False,False,False,False,False,False,False,False
庶,sù,sù,0,False,True,False,False,False,False,True,False,False,False
庸,iông,iông,0,False,True,False,False,False,False,False,False,False,False
廟,biāu,biāu,0,False,True,False,False,False,False,False,False,False,False
廠,tshiáng,chhiáng,0,False,True,False,False,False,False,False,False,False,False
廠,tshióng,chhióng,0,False,True,False,False,False,False,False,False,False,False
廳,thing,theng,0,False,True,False,False,False,False,False,False,False,False
廸,tio̍k,tio̍k,0,False,False,False,False,False,False,False,False,False,False
弁,puân,poân,0,False,False,False,False,False,False,False,False,False,False
弊,pī,pī,0,False,False,False,False,False,False,False,False,False,False
弓,kiong,kiong,0,False,True,False,False,False,True,True,False,False,False
弥,bî,bî,0,False,False,False,False,False,False,False,False,False,False
弥,mí,mí,0,False,False,False,False,False,False,False,False,False,False
弭,mí,mí,0,False,False,False,False,False,False,False,False,False,False
弱,jia̍k,jia̍k,0,False,False,False,False,False,True,False,False,False,False
弱,jio̍h,jio̍h,0,False,False,False,False,False,True,True,False,False,False
強,kiáng,kiáng,0,False,True,False,False,False,False,False,False,False,False
强,kiáng,kiáng,0,False,False,False,False,False,False,False,False,False,False
弼,pi̍t,pi̍t,0,False,True,False,False,False,False,False,False,False,False
彈,tān,tān,0,False,True,False,False,False,False,False,False,False,False
当,tong,tong,0,False,False,False,False,False,False,False,False,False,False
彗,huī,hūi,0,False,True,False,False,False,False,False,False,False,False
彦,giān,giān,0,False,True,False,False,False,False,False,False,False,False
彦,gān,gān,0,False,True,False,False,False,False,False,False,False,False
彧,hiok,hiok,0,False,True,False,False,False,False,False,False,False,False
彪,piu,piu,0,False,True,False,False,False,False,True,False,False,False
彫,tiau,tiau,0,False,True,False,False,False,True,True,False,False,False
径,kìng,kèng,0,False,False,False,False,False,False,False,False,False,False
從,tsiōng,chiōng,0,False,False,False,False,False,False,False,False,False,False
御,gī,gī,0,False,True,False,False,False,False,False,False,False,False
復,hiū,hiū,0,False,True,False,False,False,False,False,False,False,False
徹,thiat,thiat,0,False,True,False,False,False,True,True,False,False,False
