tl,hanzi,frequency,poj,tl_num,poj_num
kiâm,鹹,1200,kiâm,kiam5,kiam5
pìnn,變,1154,pìⁿ,pinn3,pinn3
gōng,戇,1150,gōng,gong7,gong7
tsio,招,1116,chio,tsio1,chio1
khǹg,囥,1062,khǹg,khng3,khng3
thiam,添,967,thiam,thiam1,thiam1
tshē,坐,939,chhē,tshe7,chhe7
siáu,痟,850,siáu,siau2,siau2
tàu,到,825,tàu,tau3,tau3
io̍k,欲,814,io̍k,iok8,iok8
tsū,聚,804,chū,tsu7,chu7
sńg,耍,779,sńg,sng2,sng2
lak,落,767,lak,lak4,lak4
jî,而,757,jî,ji5,ji5
lî,而,757,lî,li5,li5
ping,冰,750,peng,ping1,peng1
bū,霧,750,bū,bu7,bu7
gíng,研,729,géng,ging2,geng2
mài,莫,688,mài,mai3,mai3
bōng,墓,650,bōng,bong7,bong7
tshap,插,650,chhap,tshap4,chhap4
gán,眼,650,gán,gan2,gan2
pōng,磅,650,pōng,pong7,pong7
muê,糜,650,môe,mue5,moe5
tshó,草,622,chhó,tsho2,chho2
bán,挽,600,bán,ban2,ban2
tshau,操,600,chhau,tshau1,chhau1
phoo,鋪,600,pho͘,phoo1,phoo1
hia̍h,額,587,hia̍h,hiah8,hiah8
ûn,勻,550,ûn,un5,un5
pho,波,550,pho,pho1,pho1
tak,觸,550,tak,tak4,tak4
lāi,利,544,lāi,lai7,lai7
kà,較,539,kà,ka3,ka3
âu,喉,500,âu,au5,au5
sûn,巡,500,sûn,sun5,sun5
tshia,捙,500,chhia,tshia1,chhia1
sô,趖,500,sô,so5,so5
uân,園,460,oân,uan5,oan5
khiām,儉,450,khiām,khiam7,khiam7
lāng,弄,450,lāng,lang7,lang7
khàu,扣,450,khàu,khau3,khau3
thuî,槌,450,thûi,thui5,thui5
tî,池,450,tî,ti5,ti5
hôo,胡,450,hô͘,hoo5,hoo5
thǹg,褪,450,thǹg,thng3,thng3
king,弓,400,keng,king1,keng1
puann,搬,400,poaⁿ,puann1,poann1
ò,澳,400,ò,o3,o3
kông,狂,400,kông,kong5,kong5
phoh,粕,400,phoh,phoh4,phoh4
thinn,添,362,thiⁿ,thinn1,thinn1
siunn,相,357,siuⁿ,siunn1,siunn1
liông,量,356,liông,liong5,liong5
gî,宜,350,gî,gi5,gi5
áu,拗,350,áu,au2,au2
sńg,損,350,sńg,sng2,sng2
suāinn,檨,350,soāiⁿ,suainn7,soainn7
sip,溼,350,sip,sip4,sip4
suī,瑞,350,sūi,sui7,sui7
liâu,療,350,liâu,liau5,liau5
la̍p,納,350,la̍p,lap8,lap8
koo,菇,350,ko͘,koo1,koo1
hiau,僥,300,hiau,hiau1,hiau1
tsiàm,占,300,chiàm,tsiam3,chiam3
luí,壘,300,lúi,lui2,lui2
khong,康,300,khong,khong1,khong1
tsû,慈,300,chû,tsu5,chu5
íng,湧,300,éng,ing2,eng2
khut,窟,300,khut,khut4,khut4
si̍t,翼,300,si̍t,sit8,sit8
bông,雺,300,bông,bong5,bong5
kí,紀,295,kí,ki2,ki2
sut,捽,250,sut,sut4,sut4
liap,攝,250,liap,liap4,liap4
tsiánn,汫,250,chiáⁿ,tsiann2,chiann2
khó,洘,250,khó,kho2,kho2
phun,潘,250,phun,phun1,phun1
tâm,澹,250,tâm,tam5,tam5
hu,烌,250,hu,hu1,hu1
pān,範,250,pān,pan7,pan7
khiû,虯,250,khiû,khiu5,khiu5
ham,蚶,250,ham,ham1,ham1
thuh,黜,250,thuh,thuh4,thuh4
the,䖙,200,the,the1,the1
giâ,夯,200,giâ,gia5,gia5
tūn,屯,200,tūn,tun7,tun7
iā,掖,200,iā,ia7,ia7
tshuah,掣,200,chhoah,tshuah4,chhoah4
khiú,搝,200,khiú,khiu2,khiu2
siàn,搧,200,siàn,sian3,sian3
lám,攬,200,lám,lam2,lam2
tháu,敨,200,tháu,thau2,thau2
î,於,200,î,i5,i5
tsú,梓,200,chú,tsu2,chu2
hâm,涵,200,hâm,ham5,ham5
hang,烘,200,hang,hang1,hang1
kha̍p,磕,200,kha̍p,khap8,khap8
lâng,膿,200,lâng,lang5,lang5
ìm,蔭,200,ìm,im3,im3
giô,蟯,200,giô,gio5,gio5
bih,覕,200,bih,bih4,bih4
tsiān,賤,200,chiān,tsian7,chian7
tiô,趒,200,tiô,tio5,tio5
khiâ,騎,200,khiâ,khia5,khia5
khau,鬮,200,khau,khau1,khau1
peh,百,162,peh,peh4,peh4
hiong,兇,150,hiong,hiong1,hiong1
ki,吱,150,ki,ki1,ki1
khòng,壙,150,khòng,khong3,khong3
tshe,妻,150,chhe,tshe1,chhe1
