tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taihoa
sau-tshiò,嘲笑,25,sau-chhiò,sau1tshio3,sau1chhio3,sautshio,sauchhio,st,sc,True
tshuì-phué,嘴phué,25,chhùi-phóe,tshui3phue2,chhui3phoe2,tshuiphue,chhuiphoe,tp,cp,True
tshuì-ta,嘴ta,25,chhùi-ta,tshui3ta1,chhui3ta1,tshuita,chhuita,tt,ct,True
tshuì-tshìn,嘴凊,25,chhùi-chhìn,tshui3tshin3,chhui3chhin3,tshuitshin,chhuichhin,tt,cc,True
tshuì-kháu,嘴口,25,chhùi-kháu,tshui3khau2,chhui3khau2,tshuikhau,chhuikhau,tk,ck,True
tshuì-hoo,嘴呼,25,chhùi-ho͘,tshui3hoo1,chhui3hoo1,tshuihoo,chhuihoo,th,ch,True
tshuì-tûn,嘴唇,25,chhùi-tûn,tshui3tun5,chhui3tun5,tshuitun,chhuitun,tt,ct,True
tshuì-ba̍t,嘴密,25,chhùi-ba̍t,tshui3bat8,chhui3bat8,tshuibat,chhuibat,tb,cb,True
tshuì-bué,嘴尾,25,chhùi-bóe,tshui3bue2,chhui3boe2,tshuibue,chhuiboe,tb,cb,True
tshuì-tshio,嘴峭,25,chhùi-chhio,tshui3tshio1,chhui3chhio1,tshuitshio,chhuichhio,tt,cc,True
tshuì-kiāng,嘴強,25,chhùi-kiāng,tshui3kiang7,chhui3kiang7,tshuikiang,chhuikiang,tk,ck,True
tshuì-khuài,嘴快,25,chhùi-khoài,tshui3khuai3,chhui3khoai3,tshuikhuai,chhuikhoai,tk,ck,True
tshuì-ín,嘴應,25,chhùi-ín,tshui3in2,chhui3in2,tshuiin,chhuiin,ti,ci,True
tshuì-pínn,嘴扁,25,chhùi-píⁿ,tshui3pinn2,chhui3pinn2,tshuipinn,chhuipinn,tp,cp,True
tshuì-am,嘴掩,25,chhùi-am,tshui3am1,chhui3am1,tshuiam,chhuiam,ta,ca,True
tshuì-táu,嘴斗,25,chhùi-táu,tshui3tau2,chhui3tau2,tshuitau,chhuitau,tt,ct,True
tshuì-tsuânn,嘴殘,25,chhùi-chôaⁿ,tshui3tsuann5,chhui3choann5,tshuitsuann,chhuichoann,tt,cc,True
tshuì-suí,嘴水,25,chhùi-súi,tshui3sui2,chhui3sui2,tshuisui,chhuisui,ts,cs,True
tshuì-tsuí,嘴水,25,chhùi-chúi,tshui3tsui2,chhui3chui2,tshuitsui,chhuichui,tt,cc,True
tshuì-tsiánn,嘴汫,25,chhùi-chiáⁿ,tshui3tsiann2,chhui3chiann2,tshuitsiann,chhuichiann,tt,cc,True
tshuì-ku̍t,嘴滑,25,chhùi-ku̍t,tshui3kut8,chhui3kut8,tshuikut,chhuikut,tk,ck,True
tshuì-nuā,嘴瀾,25,chhùi-nōa,tshui3nua7,chhui3noa7,tshuinua,chhuinoa,tn,cn,True
tshuì-khîm,嘴琴,25,chhùi-khîm,tshui3khim5,chhui3khim5,tshuikhim,chhuikhim,tk,ck,True
tshuì-tinn,嘴甜,25,chhùi-tiⁿ,tshui3tinn1,chhui3tinn1,tshuitinn,chhuitinn,tt,ct,True
tshuì-pe̍h,嘴白,25,chhùi-pe̍h,tshui3peh8,chhui3peh8,tshuipeh,chhuipeh,tp,cp,True
tshuì-ngē,嘴硬,25,chhùi-ngē,tshui3nge7,chhui3nge7,tshuinge,chhuinge,tn,cn,True
tshuì-khang,嘴空,25,chhùi-khang,tshui3khang1,chhui3khang1,tshuikhang,chhuikhang,tk,ck,True
tshuì-iok,嘴約,25,chhùi-iok,tshui3iok1,chhui3iok1,tshuiiok,chhuiiok,ti,ci,True
tshuì-kín,嘴緊,25,chhùi-kín,tshui3kin2,chhui3kin2,tshuikin,chhuikin,tk,ck,True
tshuì-tà,嘴罩,25,chhùi-tà,tshui3ta3,chhui3ta3,tshuita,chhuita,tt,ct,True
tshuì-siànn,嘴聖,25,chhùi-siàⁿ,tshui3siann3,chhui3siann3,tshuisiann,chhuisiann,ts,cs,True
tshuì-khang,嘴腔,25,chhùi-khang,tshui3khang1,chhui3khang1,tshuikhang,chhuikhang,tk,ck,True
tshuì-sai,嘴腮,25,chhùi-sai,tshui3sai1,chhui3sai1,tshuisai,chhuisai,ts,cs,True
tshuì-tshàu,嘴臭,25,chhùi-chhàu,tshui3tshau3,chhui3chhau3,tshuitshau,chhuichhau,tt,cc,True
tshuì-tsi̍h,嘴舌,25,chhùi-chi̍h,tshui3tsih8,chhui3chih8,tshuitsih,chhuichih,tt,cc,True
tshuì-hue,嘴花,25,chhùi-hoe,tshui3hue1,chhui3hoe1,tshuihue,chhuihoe,th,ch,True
tshuì-khóo,嘴苦,25,chhùi-khó͘,tshui3khoo2,chhui3khoo2,tshuikhoo,chhuikhoo,tk,ck,True
tshuì-kak,嘴角,25,chhùi-kak,tshui3kak1,chhui3kak1,tshuikak,chhuikak,tk,ck,True
tshuì-kóng,嘴講,25,chhùi-kóng,tshui3kong2,chhui3kong2,tshuikong,chhuikong,tk,ck,True
tshuì-i̍k,嘴譯,25,chhùi-e̍k,tshui3ik8,chhui3ek8,tshuiik,chhuiek,ti,ce,True
tshuì-lōo,嘴路,25,chhùi-lō͘,tshui3loo7,chhui3loo7,tshuiloo,chhuiloo,tl,cl,True
tshuì-pinn,嘴邊,25,chhùi-piⁿ,tshui3pinn1,chhui3pinn1,tshuipinn,chhuipinn,tp,cp,True
tshuì-tun,嘴鈍,25,chhùi-tun,tshui3tun1,chhui3tun1,tshuitun,chhuitun,tt,ct,True
tshuì-gím,嘴錦,25,chhùi-gím,tshui3gim2,chhui3gim2,tshuigim,chhuigim,tg,cg,True
