hanzi,tl
文公尺,bûn-kong-tshioh
剾枋,khau-pang
灰匙仔,hue-sî-á
竹桮,tik-pue
塗剾仔,thôo-khau-á
塗抓仔,thôo-jiàu-á
柴桮仔,tshâ-pue-á
挲密刀,so-ba̍t-to
柴抹刀,tshâ-buah-to
抹刀,buah-to
太魯刀,thài-lù-to
搭架剪仔,tah-kè-tsián-á
水秤,tsuí-tshìn
鉛筆仔,iân-pit-á
塗捀,thôo-phâng
khò-té,khò-té
墨斗,ba̍k-táu
璇筆,suān-pit
剪仔,tsián-á
龍鱗,lîng-lân
簽仔,tshiam-á
龍旗,lîng-kî
翼股,si̍t-kóo
草仔箬,tshó-á-ha̍h
果子粒仔,kué-tsí-lia̍p-á
塔簽仔,thah-tshiam-á
毛,moo
薄仔瓦,po̍h-á-hiā
塗朱,thôo-tsu
iōng碗,iōng-uánn
寶石碭,pó-tsio̍h-thn̄g
大白釉,tuā-pe̍h-iu
淋碭釉,lâm-thn̄g-iu
交趾釉,kau-tsí-iu
設計稿,siat-kè-kó
設計圖,siat-kè-tôo
生坯,tshenn-phue
素坯,sòo-phue
挖空,ué-khang
捏,liap
塑,sok
貼,tah
刻,khik
畫,uē
疊,tha̍h
畫稿,uē-kó
捏版仔,lia̍p-pán-á
畫線,uē-suànn
堆的,tui-ê
開繩,khui-tsìn
割,kuah
剪,tsián
黏,liâm
粗胚,tshoo-phue
摃,kòng
堆,tui
灌漿,kuàn-tsiunn
脫模,thuat-bôo
撋塗,nuá-thôo
浮花,phû-hue
刻花,khik-hue
半堆剪,puànn-tui-tsián
立體,li̍p-thé
花鳥堵,hue-tsiáu-tóo
人物堵,jîn-bu̍t-tóo
彩繪化色,tshái-uē-huà-sik
草仔花,tshó-á-hue
螭虎屈篆,tshi-hóo khut-tuān
軟鉛,nńg-iân
門眉,mn̂g-bâi
風調雨順,hong-tiâu-ú-sūn
半浮堵,puànn-phû-tóo
甲毛,kah-moo
柴窯,tshâ-iô
練塗機,liān-thôo-ki
風車,hong-tshia
車台,tshia-tâi
噴銃,phùn-tshìng
hì-tah開關,hì-tah khai-kuan
hì-tah線,hì-tah-suànn
豆腐角仔,tāu-hū-kak-á
保溫磚,pó-un-tsng
保溫棉,pó-un-mî
耐火磚,nāi-hué-tsng
控制錶,khòng-tsè-pió
溫度針,un-tōo-tsiam
phue體kue枋,phue-thé kue-pang
窯釘,iô-ting
瓷仔車,huî-á-tshia
gá-suh窯,gá-suh-iô
石膏機仔,tsio̍h-ko-ki-á
轆斗,lo̍k-táu
練塗機仔,liān-thôo-ki-á
電窯,tiān-iô
瓷仔枋,huî-á-pang
一吞,tsi̍t-thun
文肚,bûn-tōo
武胸,bú-hing
徛七,khiā-tshit
坐五,tsē-gōo
圍巾,uî-kin
手巾仔,tshiú-kin-á
帽仔,bō-á
門簾,mn̂g-liâm
頭毛捋仔,thâu-moo-lua̍h-á
山棧花,suann-tsàn-hue
玉蘭,gio̍k-lân
玫瑰,muî-kuì
梅花,muî-hue
圓仔花,înn-á-hue
蝴蝶,ôo-tia̍p
五福花,ngóo-hok-hue
石榴,tsio̍h-liû
剪絨,tsián-jiông
