tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
tshiūnn-ní-hî,chhiūⁿ-ní-hî,象耳魚,tshiunn-ni-hi,chhiuⁿ-ni-hi,3,taijit
tshiūnn-pan,chhiūⁿ-pan,上斑,tshiunn-pan,chhiuⁿ-pan,2,taijit
tshiūnn-phê,chhiūⁿ-phê,象皮,tshiunn-phe,chhiuⁿ-phe,2,taijit
tshiūnn-phīnn,chhiūⁿ-phīⁿ,象鼻,tshiunn-phinn,chhiuⁿ-phiⁿ,2,taijit
tshiūnn-phú,chhiūⁿ-phú,上黴,tshiunn-phu,chhiuⁿ-phu,2,taijit
tshiūnn-sian,chhiūⁿ-sian,上銑,tshiunn-sian,chhiuⁿ-sian,2,taijit
tshiūnn-sip,chhiūⁿ-sip,上濕,tshiunn-sip,chhiuⁿ-sip,2,taijit
tshiūnn-tâng-tshinn,chhiūⁿ-tâng-chhiⁿ,上銅青,tshiunn-tang-tshinn,chhiuⁿ-tang-chhiⁿ,3,taijit
tshiūnn-tâng-hông,chhiūⁿ-tâng-hông,上銅磺,tshiunn-tang-hong,chhiuⁿ-tang-hong,3,taijit
tshiūnn-thn̂g,chhiūⁿ-thn̂g,上糖,tshiunn-thng,chhiuⁿ-thng,2,taijit
tshiūnn-tiàm-thang,chhiūⁿ-tiàm-thang,上店窗,tshiunn-tiam-thang,chhiuⁿ-tiam-thang,3,taijit
tshiunn-á,chhiuⁿ-á,鯧仔,tshiunn-a,chhiuⁿ-a,2,taijit
tshiunn-á,chhiuⁿ-á,鎗仔,tshiunn-a,chhiuⁿ-a,2,taijit
tshiunn-á-bé,chhiuⁿ-á-bé,鎗仔尾,tshiunn-a-be,chhiuⁿ-a-be,3,taijit
tshiunn-bé,chhiuⁿ-bé,鎗尾,tshiunn-be,chhiuⁿ-be,2,taijit
tshiunn-tshiú,chhiuⁿ-chhiú,鎗手,tshiunn-tshiu,chhiuⁿ-chhiu,2,taijit
