hanzi,tl
嬰母仔,ìnn-bú-á
擘開,peh--khui
彌補,ní-póo
應該,ìng-kai
應該然,ìng-kai-jiân/ìng-kai-liân
擤鼻,tshǹg-phīnn
戲劇,hì-ki̍k
檔,tòng
殭屍,kiong-si
檔案,tòng-àn
糜,muê
總貿,tsóng-ba̍uh
糜飯,muâi-pn̄g
聲望,siann-bōng
薄荷,po̍h-hô
薑母,kiunn-bú
薑母鴨,kiunn-bú-ah
虧損,khui-sún
觳仔炱,khóo-á-te
謎猜,bî-tshai
蹌跤雞,tshíng-kha-ke/tshíng-kha-kue
輾,lìn
還,hâinn
輾轉,lìn-tńg
擺,páinn
斷奶,tn̄g-lin
擽呧,iau-ti
斷掌,tn̄g-tsiáng
擴擴,phok-phok
爁,nà
爁日,nà-ji̍t/nà-li̍t
檳榔,pun-nn̂g
職員,tsit-guân
職權,tsit-kuân
蟯桮,giô-pe
蟮蟲仔,siān-âng-á
蟮蟲仔,siān-lâng-á
蟮蟲仔,siān-tâng-á
蟮蟲仔,sîn-âng-á
藃蟶,hiau-than
蹧躂,tsiau-that
離,lî
雞母,ke-bú/kue-bú
雞母皮,ke-bú-phuê/kue-bú-phê
雞母蟲,ke-bú-thâng/kue-bú-thâng
颺風,iānn-hong
颺粟,iānn-tshik
攏權,láng-kuân
瓣,pān
礙,ngāi
礙目,ngāi-ba̍k
爆炸,po̍k-tsah
礙虐,ngāi-gio̍h
爍爁,sih-nà
爍爁,sinnh-nà
簾,nî
簸箕甲,puànn-ki-kah
嚷,jióng
競爭,kìng-tsing
警告,kìng-kò
警戒,kìng-kài
議員,gī-guân
覺悟,kak-gōo
警報,kìng-pò
警察,kìng-tshat
警察局,kìng-tshat-kio̍k
釋迦,sik-khiau
釋迦,sik-kia
麵頭,bīn-thâu
鹹糜,kiâm-muâi
囂俳,hia-pai
爛塗糜,nuā-thôo-muâi
露水,lòo-tsuí
譴責,khiàn-tsik
護照,hōo-tsiò
囉,--loh
權,kuân
權力,kuân-li̍k
權利,kuân-lī
權威,kuân-ui
權限,kuân-hān
躘,lìng
驚生份,kiann tshenn-hūn/kiann tshinn-hūn
體面,thé-biān
躘被,lìng phuē/lìng phē
變款,pìnn-khuán
靈芝,liân-tsi
鱷魚,go̍k-hî/go̍k-hû
躼,liò
躼跤,liò-kha
