"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KaisoehHanLoPoj","LekuHanLoPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KaisoehHanLoKip","LekuHanLoKip","PageNumber","GoanchhehPoochhiongChuliau"
"17811","ha̍k-tông","","hak8-tong5","","學童","學生。","","ha̍k-tông","","hak8-tong5","","學童","學生。","","B0526",""
"17812","ha̍k-ūi","","hak8-ui7","","學位","(日)","","ha̍k-uī","","hak8-ui7","","學位","(日)","","B0525",""
"17813","hak-chhân","","hak-chhan5","","建田","買田。","","hak-tshân","","hak-tshan5","","建田","買田。","","B0525",""
"17814","hak-chhēng","","hak-chheng7","","建穿","買好衫褲。","","hak-tshīng","","hak-tshing7","","建穿","買好衫褲。","","B0526",""
"17815","hak-gia̍p","","hak-giap8","","建業","買厝、田地。","","hak-gia̍p","","hak-giap8","","建業","買厝、田地。","","B0525",""
"17816","hak-sin-chhēng","","hak-sin-chheng7","","建身穿","買衫褲。","thàn錢專 ∼∼∼。","hak-sin-tshīng","","hak-sin-tshing7","","建身穿","買衫褲。","thàn錢專 ∼∼∼。","B0526",""
"17817","ha-la","","ha-la","","ha嘮","手織品ê名，法蘭絨。","","ha-la","","ha-la","","ha嘮","手織品ê名，法蘭絨。","","B0514",""
"17818","ha-la-nî","","ha-la-ni5","","ha嘮呢","手織品ê名，法蘭絨。","","ha-la-nî","","ha-la-ni5","","ha嘮呢","手織品ê名，法蘭絨。","","B0515",""
"17819","ham","","ham","","蚶","(動)赤貝，蚶貝。","","ham","","ham","","蚶","(動)赤貝，蚶貝。","","B0533",""
"17820","ham","","ham","","𦜆","(1) 目睭皮浮腫。
(2) 胖肥。
(3) 目睭ham。
(4) 竹頂ê節kap節ê中間。","(1) ∼目；哭kah目睭∼∼。
(2) 囡仔真∼；甘蔗真∼。
(3) 頂∼；下∼。
(4) 竹∼；落∼＝節kap節中間真長；一∼。","ham","","ham","","𦜆","(1) 目睭皮浮腫。
(2) 胖肥。
(3) 目睭ham。
(4) 竹頂ê節kap節ê中間。","(1) ∼目；哭kah目睭∼∼。
(2) 囡仔真∼；甘蔗真∼。
(3) 頂∼；下∼。
(4) 竹∼；落∼＝節kap節中間真長；一∼。","B0533",""
"17821","hám-chhùi","","ham2-chhui3","","撼碎","phah碎。","","hám-tshuì","","ham2-tshui3","","撼碎","phah碎。","","B0535",""
